구분,제작국(수정),제목,등급,주제,선정성,폭력성,공포,약물,대사.지속성등.,모방위협
국외영화,일본,케로로더무비-기적의사차원섬,전체관람가,1,1,1,1,1,1,1
국외영화,기타,하이자오 7번지,12세이상관람가,2,2,1,1,1,2,1
국외영화,미국,데이브레이커스,청소년관람불가,3,1,4,4,2,3,1
국외영화,미국,브로큰 데이트,15세이상관람가,3,3,3,1,1,3,3
국외영화,미국,크레이지,청소년관람불가,3,1,4,4,1,2,4
국외영화,영국,언 애듀케이션,15세이상관람가,3,2,1,1,1,3,3
국외영화,미국,그린존,15세이상관람가,3,1,3,2,1,2,1
국외영화,프랑스,재스퍼,전체관람가,1,1,1,1,1,1,1
국외영화,일본,정사-그녀의비밀연예,청소년관람불가,4,4,1,1,2,4,3
국외영화,기타,"도와줘,에로스",청소년관람불가,4,4,1,1,4,4,4
국외영화,기타,레이징피닉스,15세이상관람가,3,1,3,1,1,3,3
국외영화,기타,어밴던드,청소년관람불가,3,3,4,3,2,3,1
국외영화,미국,예스맨프로젝트,12세이상관람가,2,1,1,1,1,2,2
국외영화,미국,콜링인러브,15세이상관람가,3,3,1,1,1,2,2
국외영화,기타,대병소장,12세이상관람가,2,1,2,1,1,2,1
국외영화,미국,장미의기사,전체관람가,1,1,1,1,1,1,1
국외영화,일본,P짱은 내친구,전체관람가,1,1,1,1,1,1,1
국외영화,일본,삐뚤어질테다,청소년관람불가,3,2,4,3,3,3,4
국외영화,일본,이번일요일에,전체관람가,1,1,1,1,1,1,1
국외영화,일본,카멜레온,15세이상관람가,3,2,3,1,1,3,3
국외영화,일본,행복의향기,전체관람가,1,1,1,1,1,1,1
국외영화,미국,로마에서생긴일,12세이상관람가,2,2,1,1,1,2,2
국외영화,일본,멘탈,15세이상관람가,3,1,2,2,3,3,2
국외영화,미국,밀크,15세이상관람가,3,3,3,1,3,3,2
국외영화,일본,어둠의아이들,청소년관람불가,4,4,4,3,3,4,3
국외영화,프랑스,클래스,12세이상관람가,2,1,1,1,1,2,2
국외영화,미국,포스카인드,15세이상관람가,3,1,3,3,1,3,2
국외영화,기타,데이즈인포르노,청소년관람불가,4,4,1,1,4,4,4
국외영화,미국,디어존,12세이상관람가,2,2,2,1,1,2,1
국외영화,미국,셔터아일랜드,15세이상관람가,3,1,3,2,1,3,3
국외영화,미국,크레이지 하트,15세이상관람가,3,3,1,1,3,2,2
국외영화,미국,엘라의모험2:백설공주길들이기,전체관람가,1,1,1,1,1,1,1
국외영화,미국,이상한나라의앨리스,전체관람가,1,1,1,1,1,1,1
국외영화,일본,리틀디제이,전체관람가,1,1,1,1,1,1,1
국외영화,미국,사랑은언제나진행중,15세이상관람가,3,3,1,1,1,3,3
국외영화,프랑스,프롬파리 위드러브,청소년관람불가,3,2,4,2,4,3,2
국외영화,프랑스,클로이,청소년관람불가,4,4,3,3,1,4,3
국외영화,미국,인디에어,15세이상관람가,3,3,1,1,1,3,1
국외영화,일본,키사라기 미키짱,12세이상관람가,2,1,2,1,1,2,2
국외영화,미국,호프만의이야기,12세이상관람가,2,2,1,1,1,2,2
국외영화,기타,바흐이전의침묵,15세이상관람가,2,3,1,1,1,1,1
국외영화,프랑스,예언자,청소년관람불가,4,4,4,3,4,4,3
국외영화,미국,퍼시잭슨과번개도둑,12세이상관람가,1,1,2,2,1,1,1
국외영화,미국,발렌타인데이,15세이상관람가,2,3,1,1,1,3,2
국외영화,기타,어웨이위고,15세이상관람가,3,3,1,1,1,3,1
국외영화,기타,공자 춘추전국시대,12세이상관람가,1,1,2,1,1,2,1
국외영화,미국,우리가꿈꾸는기적:인빅터스,전체관람가,1,1,1,1,1,1,1
국외영화,미국,울프맨,청소년관람불가,2,1,4,4,1,2,1
국외영화,일본,제로포커스,15세이상관람가,3,3,3,2,2,3,3
국외영화,미국,프로포즈데이,12세이상관람가,2,1,2,1,1,2,1
국외영화,프랑스,리키,12세이상관람가,2,2,1,1,1,2,2
국외영화,기타,식신세번째 이야기,15세이상관람가,2,1,3,2,1,2,2
국외영화,기타,춤추는꿈틀이밴드,전체관람가,1,1,1,1,1,1,1
국외영화,미국,하치이야기,전체관람가,1,1,1,1,1,1,1
국외영화,미국,P.S. 온리유,청소년관람불가,4,4,1,1,3,4,3
국외영화,미국,바비,15세이상관람가,3,3,3,2,3,3,3
국외영화,프랑스,유윌미스미,12세이상관람가,2,1,1,1,1,2,1
국외영화,영국,맨온와이어,12세이상관람가,2,2,1,1,2,2,2
국외영화,기타,오슬로의이상한밤,15세이상관람가,2,3,1,1,1,3,3
국외영화,일본,울트라미라클러브스토리,12세이상관람가,2,1,1,1,2,2,2
국외영화,기타,쿵푸허슬:무적파이터,15세이상관람가,2,1,3,2,2,2,2
국외영화,프랑스,당신을오랫동안사랑했어요,15세이상관람가,3,2,2,1,2,3,2
국외영화,미국,헤이트발렌타인데이,12세이상관람가,2,2,1,1,1,2,2
국내영화,한국,댄싱퀸,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,페이스메이커,12세이상관람가,1,1,1,1,1,2,1
국내영화,한국,밍크코트,15세이상관람가,3,1,1,1,1,3,2
국내영화,한국,코알라키드:영웅의탄생,전체관람가,1,1,1,1,1,1,1
국내영화,한국,코알라키드:영웅의탄생3D,전체관람가,1,1,1,1,1,1,1
국내영화,한국,패는여자,청소년관람불가,4,4,4,3,4,4,4
국내영화,한국,하울링,15세이상관람가,3,3,3,3,3,3,3
국내영화,한국,해로,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,하얀나비,12세이상관람가,2,1,1,1,2,2,2
국내영화,한국,오래된인력거,전체관람가,1,1,1,1,1,1,1
국내영화,한국,남겨진미래남극,전체관람가,1,1,1,1,1,1,1
국내영화,한국,사랑그리고불륜,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,부러진화살,15세이상관람가,3,1,3,1,1,3,2
국내영화,한국,혜원아사랑해,청소년관람불가,4,4,4,3,2,4,2
국내영화,한국,퍼펙트게임,12세이상관람가,1,1,2,1,1,2,2
국내영화,한국,원더풀라디오,15세이상관람가,3,2,1,1,1,2,2
국내영화,한국,우리만난지1년되는날,12세이상관람가,2,2,1,1,1,1,1
국내영화,한국,마이웨이,15세이상관람가,3,1,3,3,1,3,1
국내영화,한국,그녀의비밀애,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,창피해,청소년관람불가,4,4,3,2,1,4,3
국내영화,한국,완벽한파트너-감독판,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,붉은바캉스검은웨딩,청소년관람불가,4,4,3,3,2,4,4
국내영화,한국,JAM DOCU강정,12세이상관람가,2,1,2,1,1,2,1
국내영화,한국,도가니확장판,청소년관람불가,4,3,4,3,1,3,3
국내영화,한국,양한마리양두마리,12세이상관람가,2,1,2,1,1,2,2
국내영화,한국,러브콜,15세이상관람가,2,2,2,2,2,3,3
국내영화,한국,캐릭터,12세이상관람가,2,2,1,1,1,2,1
국내영화,한국,트로피컬마닐라,청소년관람불가,4,4,4,4,4,4,4
국내영화,한국,하얀정글,전체관람가,1,1,1,1,1,1,1
국내영화,한국,악인은너무많다,청소년관람불가,4,4,4,3,4,4,4
국내영화,한국,나의선택-잊혀진가방그못다한이야기,전체관람가,1,1,1,1,1,1,1
국내영화,한국,마지막섹스그리고사랑,청소년관람불가,4,4,1,1,2,4,4
국내영화,한국,기타가웃는다,12세이상관람가,1,1,2,1,1,2,1
국내영화,한국,어디로갈까요?,청소년관람불가,4,4,3,2,1,3,3
국내영화,한국,초등학교성폭력의위험,전체관람가,1,1,1,1,1,1,1
국내영화,한국,모차르트락오페라(3D),전체관람가,1,1,1,1,1,1,1
국내영화,한국,꿍따리유랑단,전체관람가,1,1,1,1,1,1,1
국내영화,한국,손님1 첫번째이야기,청소년관람불가,4,4,4,4,1,4,4
국내영화,한국,완벽한파트너,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,천사의숨소리,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,특수본,15세이상관람가,3,2,3,3,3,3,3
국내영화,한국,너는펫(YOU ARE MY PET),12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,아멘,15세이상관람가,3,3,2,1,2,1,3
국내영화,한국,킬링타임,청소년관람불가,4,1,4,4,1,3,2
국내영화,한국,"사물의비밀(Secrets,objects)",청소년관람불가,4,4,3,2,2,4,4
국내영화,한국,알이씨REC,청소년관람불가,4,4,1,1,1,4,3
국내영화,한국,보라,전체관람가,1,1,1,1,1,1,1
국내영화,한국,결정적한방,15세이상관람가,3,2,2,2,1,2,2
국내영화,한국,오싹한연애,12세이상관람가,2,2,1,2,1,2,1
국내영화,한국,만화방,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,더킥,12세이상관람가,2,1,2,2,1,2,2
국내영화,한국,훈장과악동들,전체관람가,1,1,1,1,1,1,1
국내영화,한국,MR.아이돌,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,돼지의왕,청소년관람불가,4,1,4,3,1,4,4
국내영화,한국,최종병기활확장판,청소년관람불가,2,1,4,3,1,3,1
국내영화,한국,다슬이,전체관람가,1,1,1,1,1,1,1
국내영화,한국,커플즈,15세이상관람가,3,2,3,2,3,3,3
국내영화,한국,그녀의죽이는상상,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,스무살의정사,청소년관람불가,4,4,3,1,2,4,4
국내영화,한국,고양이춤,전체관람가,1,1,1,1,1,1,1
국내영화,한국,오직그대만,15세이상관람가,3,2,3,2,1,2,2
국내영화,한국,의뢰인,15세이상관람가,3,2,3,2,1,2,2
국내영화,한국,핑크,청소년관람불가,4,4,4,2,2,3,4
국내영화,한국,위도,청소년관람불가,4,4,4,3,1,3,4
국내영화,한국,카멜리아(CAMILLIA),15세이상관람가,3,3,3,2,2,3,3
국내영화,한국,티끌모아로맨스,15세이상관람가,3,2,1,1,1,2,3
국내영화,한국,흉터,15세이상관람가,3,3,1,1,1,3,2
국내영화,한국,오늘,15세이상관람가,3,1,3,2,1,3,3
국내영화,한국,오직그대만-부산국제영화제 개막작,15세이상관람가,3,2,3,2,1,2,2
국내영화,한국,은어(SWEET FISH),15세이상관람가,3,2,2,1,1,3,3
국내영화,한국,스파이파파,전체관람가,1,1,1,1,1,1,1
국내영화,한국,아리랑,15세이상관람가,3,1,2,2,1,3,3
국내영화,한국,완득이,12세이상관람가,2,1,2,1,1,2,2
국내영화,한국,"금지된섹스,불륜",청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,야설야화,청소년관람불가,4,4,2,1,1,4,4
국내영화,한국,히트(HIT),15세이상관람가,3,2,3,2,1,2,3
국내영화,한국,투혼,전체관람가,1,1,1,1,1,1,1
국내영화,한국,평범한날들,15세이상관람가,3,3,3,2,1,3,2
국내영화,한국,도가니,청소년관람불가,3,3,4,3,1,3,3
국내영화,한국,물없는바다,15세이상관람가,3,3,2,1,1,3,2
국내영화,한국,환타스틱모던가야그머,전체관람가,1,1,1,1,1,1,1
국내영화,한국,독도야반갑다!,12세이상관람가,2,1,1,1,1,1,2
국내영화,한국,카운트다운,청소년관람불가,4,3,4,3,3,3,4
국내영화,한국,가문의영광4-가문의수난,15세이상관람가,3,3,3,1,1,3,3
국내영화,한국,통증,15세이상관람가,2,2,3,3,1,3,3
국내영화,한국,챔프,12세이상관람가,2,1,2,1,2,2,2
국내영화,한국,댄스타운,청소년관람불가,3,4,4,3,4,3,4
국내영화,한국,모차르트 타운,청소년관람불가,4,4,4,2,2,4,4
국내영화,한국,뽀로로 3D 어드벤처 (입체수정본),전체관람가,1,1,1,1,1,1,1
국내영화,한국,끝과시작,청소년관람불가,4,4,4,3,2,3,3
국내영화,한국,꿈의공장,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,뽕똘,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,기생령,청소년관람불가,3,2,4,4,1,3,3
국내영화,한국,7광구 3D 디렉터스컷,15세이상관람가,2,1,3,3,1,2,2
국내영화,한국,7광구 디렉터스컷,15세이상관람가,2,1,3,3,1,2,2
국내영화,한국,서태지모아이:더필름,전체관람가,1,1,1,1,1,1,1
국내영화,한국,바다사자를찾아서,전체관람가,1,1,1,1,1,1,1
국내영화,한국,쉐어더비전,청소년관람불가,4,1,1,1,3,2,3
국내영화,기타,푸른소금,15세이상관람가,3,1,3,2,2,3,3
국내영화,한국,고래를찾는자전거,전체관람가,1,1,1,1,1,1,1
국내영화,한국,숨,15세이상관람가,3,3,1,1,1,2,2
국내영화,한국,에일리언비키니,청소년관람불가,3,4,4,2,1,2,3
국내영화,한국,술에대하여,15세이상관람가,3,1,1,1,1,3,2
국내영화,한국,바다,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,최종병기활,15세이상관람가,2,1,3,2,1,3,2
국내영화,한국,미확인동영상,15세이상관람가,3,1,3,3,1,2,3
국내영화,한국,링크,청소년관람불가,4,4,4,3,1,3,3
국내영화,한국,홍길동2084(3D),전체관람가,1,1,1,1,1,1,1
국내영화,한국,겨울냄새,전체관람가,1,1,1,1,1,1,1
국내영화,한국,차마고도,전체관람가,1,1,1,1,1,1,1
국내영화,한국,아테나:전쟁의여신,15세이상관람가,2,1,3,2,2,2,3
국내영화,한국,심장이뛰네,청소년관람불가,4,4,1,1,2,4,3
국내영화,한국,이별능력,12세이상관람가,2,2,1,1,2,1,2
국내영화,한국,7광구 3D,15세이상관람가,2,1,3,3,1,2,2
국내영화,한국,그리움의종착역,전체관람가,1,1,1,1,1,1,1
국내영화,한국,홍길동2084,전체관람가,1,1,1,1,1,1,1
국내영화,한국,써니-디렉터스컷,청소년관람불가,3,3,4,3,3,4,3
국내영화,한국,7광구,15세이상관람가,2,1,3,3,1,2,2
국내영화,한국,짐승,청소년관람불가,4,3,4,3,1,4,3
국내영화,한국,블라인드,청소년관람불가,3,3,4,3,3,3,3
국내영화,한국,마지막밀애,청소년관람불가,4,4,1,1,1,4,4
국내영화,한국,신의아이들,12세이상관람가,2,1,2,1,2,2,2
국내영화,한국,고양이-죽음을보는두개의눈,15세이상관람가,3,1,3,3,1,2,2
국내영화,한국,겨울나비,15세이상관람가,2,1,3,3,1,3,3
국내영화,한국,도약선생,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,고지전,15세이상관람가,3,1,3,2,2,3,1
국내영화,한국,퀵(QUICK),15세이상관람가,3,1,3,2,1,3,3
국내영화,한국,마당을 나온 암탉,전체관람가,1,1,1,1,1,1,1
국내영화,한국,북촌방향,청소년관람불가,4,3,1,1,3,3,3
국내영화,한국,방독피,청소년관람불가,4,4,4,3,1,4,4
국내영화,한국,풍산개,청소년관람불가,3,2,4,3,1,3,3
국내영화,한국,뽀로로3D어드벤처,전체관람가,1,1,1,1,1,1,1
국내영화,한국,트루맛쇼,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,화이트:저주의멜로디,15세이상관람가,3,2,3,3,2,2,2
국내영화,한국,멋진인생,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,모비딕,15세이상관람가,3,1,3,3,1,2,2
국내영화,한국,애정만세,15세이상관람가,3,3,2,1,1,3,3
국내영화,한국,종로의기적,15세이상관람가,3,3,1,1,2,3,3
국내영화,한국,플레이,전체관람가,1,1,1,1,1,1,1
국내영화,한국,소중한날의꿈,전체관람가,1,1,1,1,1,1,1
국내영화,한국,마마,12세이상관람가,2,1,2,2,1,2,2
국내영화,한국,굿바이 보이,청소년관람불가,3,2,4,3,3,3,3
국내영화,한국,울타리를없애야해,전체관람가,1,1,1,1,1,1,1
국내영화,한국,이런공장은싫어,전체관람가,1,1,1,1,1,1,1
국내영화,한국,잠꾸러기불도깨비,전체관람가,1,1,1,1,1,1,1
국내영화,한국,붕어빵,12세이상관람가,2,1,2,1,1,2,1
국내영화,한국,헤드,청소년관람불가,4,1,4,3,1,4,4
국내영화,한국,회초리,12세이상관람가,2,1,2,2,1,2,1
국내영화,한국,몽정애,청소년관람불가,4,4,2,1,2,4,4
국내영화,한국,타운십스토리,15세이상관람가,2,1,1,1,3,2,3
국내영화,기타,법정스님의 의자,전체관람가,1,1,1,1,1,1,1
국내영화,한국,"미안해,고마워",12세이상관람가,2,1,2,1,1,2,2
국내영화,한국,적과의동침,12세이상관람가,2,1,2,2,1,2,1
국내영화,한국,써니,15세이상관람가,3,2,3,2,3,3,3
국내영화,한국,시선너머,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,체포왕,15세이상관람가,3,3,3,3,3,3,3
국내영화,한국,세상에서가장아름다운이별,15세이상관람가,3,2,3,1,1,3,3
국내영화,기타,피안도,15세이상관람가,2,1,3,3,1,3,1
국내영화,한국,청계천의개,청소년관람불가,4,4,3,3,4,4,4
국내영화,한국,2004서태지라이브투어제로,전체관람가,1,1,1,1,1,1,1
국내영화,한국,바보야,전체관람가,1,1,1,1,1,1,1
국내영화,한국,굿바이마이스마일,12세이상관람가,2,1,1,1,2,2,2
국내영화,한국,착한살인자들,청소년관람불가,4,2,4,3,2,4,4
국내영화,한국,수상한고객들,15세이상관람가,3,1,2,1,1,3,3
국내영화,한국,나는아빠다,청소년관람불가,4,1,4,3,2,4,3
국내영화,한국,소명3히말라야의슈바이처,전체관람가,1,1,1,1,1,1,1
국내영화,한국,오월愛(오월애),전체관람가,1,1,1,1,1,1,1
국내영화,한국,아프리카의눈물,12세이상관람가,1,1,2,2,1,1,2
국내영화,한국,무산일기,15세이상관람가,3,2,3,2,1,2,1
국내영화,한국,수상한이웃들,15세이상관람가,3,2,3,2,1,3,1
국내영화,한국,엄마까투리,전체관람가,1,1,1,1,1,1,1
국내영화,한국,돌아오는길,15세이상관람가,3,2,3,2,2,3,3
국내영화,한국,로맨틱 헤븐,12세이상관람가,2,1,2,1,1,2,1
국내영화,한국,지구대표 롤링스타즈,전체관람가,1,1,1,1,1,1,1
국내영화,한국,위험한상견례,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,두만강,15세이상관람가,3,3,3,1,1,2,2
국내영화,한국,마이블랙미니드레스,15세이상관람가,3,3,2,1,2,3,2
국내영화,한국,스물아홉살,12세이상관람가,2,1,1,1,1,2,2
국내영화,기타,환상극장,15세이상관람가,3,1,3,3,1,3,1
국내영화,한국,우리이웃의범죄,15세이상관람가,3,1,3,2,1,2,2
국내영화,한국,정글피쉬2,15세이상관람가,3,1,2,1,2,3,3
국내영화,한국,사랑이무서워,15세이상관람가,3,2,2,1,1,3,3
국내영화,한국,애니멀타운,청소년관람불가,4,4,4,1,2,3,3
국내영화,한국,나이스숏2011촌철살인,15세이상관람가,3,2,2,2,1,3,2
국내영화,한국,한걸음,12세이상관람가,1,1,2,1,1,2,2
국내영화,한국,최후의툰드라,전체관람가,1,1,1,1,1,1,1
국내영화,한국,혈투,15세이상관람가,2,1,3,3,1,2,1
국내영화,한국,만추,15세이상관람가,3,3,2,2,2,2,1
국내영화,한국,슈퍼쇼3 3D,전체관람가,1,1,1,1,1,1,1
국내영화,한국,그대를사랑합니다,15세이상관람가,3,1,1,2,3,2,3
국내영화,한국,2010 빅뱅라이브콘서트BIGSHOW 3D,전체관람가,1,1,1,1,1,1,1
국내영화,한국,"굿바이,평양",전체관람가,1,1,1,1,1,1,1
국내영화,한국,"사랑한다,사랑하지않는다",15세이상관람가,3,1,1,1,1,3,1
국내영화,한국,아이들...,15세이상관람가,3,1,3,3,1,2,1
국내영화,한국,기이한춤:기무,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,인더콜드콜드나잇,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,평양성,12세이상관람가,2,1,2,1,1,2,2
국내영화,한국,호수길,12세이상관람가,2,1,1,1,1,1,1
국내영화,한국,"혜화,동",15세이상관람가,3,2,2,1,1,3,3
국내영화,한국,려수,15세이상관람가,3,3,2,1,1,3,3
국외영화,미국,원스어게인,12세이상관람가,2,1,1,1,1,2,1
국외영화,미국,다크아워(3D),12세이상관람가,2,1,2,2,1,2,1
국외영화,기타,천국의전쟁,청소년관람불가,4,4,4,3,2,4,4
국외영화,프랑스,도망자,15세이상관람가,3,3,3,2,2,2,3
국외영화,기타,퍼스트그레이더,12세이상관람가,1,2,2,2,1,2,2
국내영화,한국,심도,청소년관람불가,4,4,4,3,1,3,4
국내영화,한국,조선명탐정:각시투구꽃의비밀,12세이상관람가,2,2,2,1,1,2,1
국내영화,한국,글러브,전체관람가,1,1,1,1,1,1,1
국내영화,한국,달빛길어올리기,15세이상관람가,2,3,2,1,1,3,2
국내영화,한국,파란만장,12세이상관람가,2,1,1,2,1,1,1
국외영화,일본,원피스3D:밀짚모자체이스,전체관람가,1,1,1,1,1,1,1
국외영화,일본,"이룰수없는사랑,그리고섹스",청소년관람불가,4,4,1,1,1,4,4
국외영화,일본,어쎄신,청소년관람불가,4,2,4,3,2,4,4
국외영화,미국,덴쉬파운드미,청소년관람불가,4,3,1,1,1,3,3
국외영화,기타,야곱신부의편지,12세이상관람가,1,1,1,1,1,2,1
국외영화,미국,잃어버린세계를찾아서2:신비의섬,전체관람가,1,1,1,1,1,1,1
국외영화,미국,잃어버린세계를찾아서2:신비의섬(3D),전체관람가,1,1,1,1,1,1,1
국외영화,기타,자전거탄소년,12세이상관람가,2,1,2,1,2,2,2
국외영화,미국,블루엘리펀트,전체관람가,1,1,1,1,1,1,1
국외영화,미국,워 호스,12세이상관람가,1,1,2,1,1,1,1
국외영화,기타,에이전트맨드릴,청소년관람불가,4,4,4,3,2,3,3
국외영화,기타,아버지를위한노래,12세이상관람가,2,2,1,1,2,2,1
국외영화,미국,다크아워,12세이상관람가,2,1,2,2,1,2,1
국외영화,미국,래빗홀,15세이상관람가,2,1,1,1,3,2,2
국외영화,기타,뱅뱅클럽,청소년관람불가,3,3,4,3,3,3,3
국외영화,기타,스페이스독,전체관람가,1,1,1,1,1,1,1
국외영화,기타,내가사는피부,청소년관람불가,4,4,4,3,4,3,3
국외영화,기타,더라인,청소년관람불가,4,3,4,3,3,4,3
국외영화,미국,풋루즈,15세이상관람가,2,2,2,1,3,3,3
국외영화,미국,"마사,마시,메이,마릴린",청소년관람불가,4,4,4,3,3,4,3
국외영화,일본,진짜로일어날지도몰라기적,전체관람가,1,1,1,1,1,1,1
국외영화,미국,밀레니엄:여자를증오한남자들,청소년관람불가,4,4,4,4,3,4,3
국외영화,기타,스페이스독3D,전체관람가,1,1,1,1,1,1,1
국외영화,기타,제국의전쟁,15세이상관람가,2,2,3,2,1,2,1
국외영화,기타,징기스칸,15세이상관람가,2,2,3,2,1,2,1
국외영화,미국,해피,12세이상관람가,2,1,1,1,1,2,1
국외영화,기타,송곳니,청소년관람불가,4,4,4,4,2,4,4
국외영화,기타,요나요나펭귄,전체관람가,1,1,1,1,1,1,1
국외영화,기타,치코와리타,15세이상관람가,3,3,2,1,1,3,2
국외영화,미국,캣런,청소년관람불가,4,4,4,4,3,4,4
국외영화,기타,밀레니엄제1부:여자를증오한남자들,청소년관람불가,4,4,4,3,3,4,3
국외영화,영국,와일드타겟,15세이상관람가,3,2,3,2,2,2,2
국외영화,미국,스파이넥스트도어,전체관람가,1,1,1,1,1,1,1
국외영화,미국,라이온킹3D,전체관람가,1,1,1,1,1,1,1
국외영화,일본,프렌즈:몬스터섬의비밀3D,전체관람가,1,1,1,1,1,1,1
국외영화,프랑스,꼬마산타 니콜라스,전체관람가,1,1,1,1,1,1,1
국외영화,미국,장화신은고양이,전체관람가,1,1,1,1,1,1,1
국외영화,미국,이민자,12세이상관람가,2,1,2,1,1,2,2
국외영화,일본,마이코한!!!,15세이상관람가,3,3,2,1,1,3,3
국외영화,미국,스크림오브더밴쉬,청소년관람불가,3,3,4,4,1,3,4
국외영화,미국,셜록홈즈:그림자게임,15세이상관람가,2,2,3,2,1,2,3
국외영화,기타,저스트비트윈어스,청소년관람불가,4,4,2,3,4,4,4
국외영화,미국,오페라의유령:25주년특별공연,전체관람가,1,1,1,1,1,1,1
국외영화,영국,스나이퍼머시너리,15세이상관람가,3,1,3,2,1,2,2
국외영화,미국,장화신은고양이3D,전체관람가,1,1,1,1,1,1,1
국외영화,기타,히어앤데어,15세이상관람가,3,2,2,1,2,2,3
국외영화,미국,더태스크,청소년관람불가,4,1,4,4,1,4,3
국외영화,일본,18禁린코2,청소년관람불가,4,4,2,1,1,4,4
국외영화,미국,웰컴투마이하트,청소년관람불가,3,3,2,1,4,4,3
국외영화,미국,위대한비밀,15세이상관람가,3,3,3,2,1,3,1
국외영화,미국,미션임파서블:고스트프로토콜,15세이상관람가,2,1,3,2,1,1,2
국외영화,미국,앨빈과슈퍼밴드3,전체관람가,1,1,1,1,1,1,1
국외영화,일본,도쿄오아시스,12세이상관람가,2,1,1,1,1,2,2
국외영화,영국,블리츠,청소년관람불가,4,3,4,3,4,3,4
국외영화,미국,틴틴:유니콘호의비밀,전체관람가,1,1,1,1,1,1,1
국외영화,일본,극장판테니스의왕자:영국식테니스성결전!,12세이상관람가,2,1,2,1,1,2,2
국외영화,미국,레스큐3D,전체관람가,1,1,1,1,1,1,1
국외영화,기타,엑소시즈머스,청소년관람불가,4,3,4,4,4,3,4
국외영화,일본,극장판포켓몬스터베스트위시[비크티니와백의영웅레시라무],전체관람가,1,1,1,1,1,1,1
국외영화,일본,극장판포켓몬스터베스트위시[비크티니와흑의영웅제크로무],전체관람가,1,1,1,1,1,1,1
국외영화,미국,틴틴:유니콘호의비밀3D,전체관람가,1,1,1,1,1,1,1
국외영화,미국,아더크리스마스,전체관람가,1,1,1,1,1,1,1
국외영화,기타,세번째사랑,청소년관람불가,3,4,3,1,3,3,3
국외영화,일본,프렌즈:몬스터섬의비밀,전체관람가,1,1,1,1,1,1,1
국외영화,일본,꿈속의정사,청소년관람불가,4,4,4,3,2,4,4
국외영화,일본,애인의속옷,청소년관람불가,4,4,4,2,1,4,4
국외영화,일본,치한전차-물든엉덩이,청소년관람불가,4,4,4,1,2,4,4
국외영화,일본,치한전차치한부인,청소년관람불가,4,4,3,1,2,4,4
국외영화,일본,풍만미녀,청소년관람불가,4,4,1,1,1,4,4
국외영화,미국,디센던트,15세이상관람가,3,2,2,1,2,3,2
국외영화,미국,브레이킹던 PART1,15세이상관람가,3,2,2,3,1,2,1
국외영화,미국,아더크리스마스3D,전체관람가,1,1,1,1,1,1,1
국외영화,미국,파라노말 엔티티,15세이상관람가,3,3,3,3,1,3,2
국외영화,기타,르아브르,전체관람가,1,1,1,1,1,1,1
국외영화,일본,배덕의숲,청소년관람불가,4,4,1,1,1,4,4
국외영화,프랑스,퍼블릭에너미넘버원2,청소년관람불가,4,4,4,3,2,4,4
국외영화,일본,파라노말액티비티-도쿄나이트,12세이상관람가,2,1,2,2,1,1,1
국외영화,미국,51구역,청소년관람불가,3,2,4,4,1,3,3
국외영화,기타,백사대전,15세이상관람가,2,2,3,2,1,2,1
국외영화,일본,섹시엔젤카에데,청소년관람불가,4,4,4,2,1,3,4
국외영화,기타,셀211,청소년관람불가,3,2,4,3,4,3,4
국외영화,일본,내여친은사이보그,청소년관람불가,4,4,4,2,1,4,4
국외영화,일본,시부야표류소녀,청소년관람불가,4,4,4,3,3,4,4
국외영화,미국,허스크,청소년관람불가,3,1,4,4,1,2,3
국외영화,일본,"간호사,나츠코의뜨거운여름",청소년관람불가,4,4,2,1,1,4,4
국외영화,일본,나의조교일기,청소년관람불가,4,4,3,1,2,4,4
국외영화,기타,메리와맥스,12세이상관람가,2,1,2,2,1,2,2
국외영화,미국,퍼틀그라운드,청소년관람불가,3,3,4,4,1,2,2
국외영화,일본,길티오브로맨스:욕정의미스터리,청소년관람불가,4,4,4,4,3,4,4
국외영화,일본,바디스나이퍼,청소년관람불가,4,4,4,3,1,3,4
국외영화,영국,퍼펙트센스,15세이상관람가,3,3,3,3,1,2,2
